CharacterID,Prefix,First,Middle,Nickname,Last,Suffix,Title,UsualRef,Sex,Species,Comment,LaterLast,Description,GrammarSchool,MainClub
86,Lord,,,,Heacham,,,,Male,Human,,,A rich landowner,,
87,,Frederick,,,Twistleton,,Earl of Ickenham,Uncle Fred,Male,Human,,,A mischievous old Pelican,,
88,,Pongo,,,Twistleton,,,Pongo,Male,Human,,,Ever-embarrassed,,Drones
89,,Valerie,,,Twistleton,,,Valerie,Female,Human,,,,,
90,,R.,,,Jones,,,,Male,Human,,,Fat,,
91,,Bill,,,Lister,,,Bill,Male,Human,,,,,
92,,Ashe,,,Marson,,,Ashe,Male,Human,,,,,
93,,Ralston,,,McTodd,,,McTodd,Male,Human,,,Canadian and short-tempered,,
94,,Aileen,,Smooth Lizzie,Peavey,,,Miss Peavey,Female,Human,,,,,
95,,Ailine,,,Peters,,,,Female,Human,,,,,
96,,J.,Peterson,,Peters,,,Mr Peterson,Male,Human,,,A millionaire scarab collector,,
97,,Percy,Frobisher,,Pilbeam,,,Pilbeam,Male,Human,,,,,
98,,Tipton,,,Plimsoll,,,Tipton,Male,Human,,,A wealthy American,,Drones
99,,Claude,,Mustard,Pott,,,Pott,Male,Human,,,,,
100,,Polly,,,Pott,,,Polly,Female,Human,,,Pretty,,
101,,Gloria,,,Salt,,,Miss Salt,Female,Human,,,An athletic girl,,
102,,George,Alexander,Stinker,Pyke,,Lord Tilbury,,Male,Human,,,Not a tall man an runs somewhat to fat.  Similar to Napoleon.,,
103,,Orlo,,,Watkins,,,Orlo,Male,Human,,,A tenor,,
104,,Augustus,,,Whiffle,,,Whiffle,Male,Human,Sometimes Whipple,,Author of The Care of the Pig,,
105,,Jane,,,Yorke,,,,Female,Human,,,,,
106,,,,The Oldest Member,,,,,Male,Human,,,,,
107,,Agnes,,,Flack,,,,Female,Human,,,,,
108,,Sidney,,,McMurdo,,,,Male,Human,,,,,
109,,Felicia,,,Blakeny,,,,Female,Human,,,,,
110,,Chester,,,Meredith,,,,Male,Human,,,,,
111,,Reginald,,,Jeeves,,,Jeeves,Male,Human,,,,,
112,,Bertram,Wilberforce,Bertie,Wooster,,,Bertie,Male,Human,,,,Eton,Drones
113,,Mabel,,,,,,,Female,Human,,,,,
114,,Egbert,,,,,,,Male,Human,,,,,
115,,Charlie,,,Silversmith,,,,Male,Human,,,,,
116,,Queenie,,,,,,,Female,Human,,,,,
117,,P.,B.,,Pigott,,,,Male,Human,,,,,
118,,Dahlia,,,Travers,,,Aunt Dahlia,Female,Human,,,"built rather on the lines of Mae West"", but with a reddish-purple complexion. Her most notable personal characteristic is her carrying voice. Riding in her youth for years with such fox-hunting clubs as the Quorn and the Pytchley, she tends to address Bertie, over the phone or indoors, as if ""shouting across ploughed fields in a high wind",,
119,,Tom,,,Travers,,,Uncle Tom,Male,Human,,,,,
120,,Bonzo,,,Travers,,,,Male,Human,,,,,
121,,Angela,,,Travers,,,,Female,Human,,,,,
122,,Agatha,,,Gregson,,Lady Worplesdon,Aunt Agatha,Female,Human,,,"We run to height a bit in our family and there's about five-foot-nine of Aunt Agatha, topped off with a beaky nose, an eagle eye, and a lot of grey hair, and the general effect is pretty formidable.",,
123,,Spenser,,,Gregson,,,,Male,Human,,,,,
124,,Thomas,,Thos.,Gregson,,,,Male,Human,,,,,
125,,Percy,,,Craye,,Earl of Worplesdon,,Male,Human,,,,,
126,Lady,Florence,,,Craye,,,,Female,Human,,,,,
127,,Edwin,,,Craye,,,,Male,Human,,,,,
128,,Zenobia,,Nobby,Hopwood,,,,Female,Human,,,,,
129,,Willhoughby,,,Wooster,,,Uncle Willoughby,Male,Human,,,"Resident of a country seat in Shropshire, notable for his scandalous Reminiscences",,
130,,Henry,,,Wooster,,,Uncle Henry,Male,Human,,,A very personable looney who kept pet rabbits in his bedroom,,
131,,Emily,,,Wooster,,,,Female,Human,,,,,
132,,Claude,,,Wooster,,,,Male,Human,,,,,Seekers
133,,Eustace,,,Wooster,,,,Male,Human,,,,,Seekers
134,,George,,,Travers,,Lord Yaxley,Uncle George,Male,Human,,,"Devoted his entire life to the pleasures of the table, and discovered that alcohol was a food well in advance of modern medical thought.",,
135,,Maud,,,Wilberforce,,,,Female,Human,,,,,
136,Mrs,,,,Scholfield,,,,Female,Human,,,,,
137,,Harold,,Beefy,Anstruther,,,,Male,Human,,,,,
138,,Cyril,,,Bassington-Bassington,,,,Male,Human,,,,,
139,,Bill,,,Belfry,,9th Earl of Rowcester,,Male,Human,,,,,
140,,Francis,,Bicky,Bickersteth,,,,Male,Human,,,,,
141,,,,,,,Duke of Chiswick,,Male,Human,,,Wealthy and displeased,,
142,,Charles,Edward,Biffy,Biffen,,,,Male,Human,,,Extremely absent-minded,,Drones
143,Rev.,Rupert,,Beefy,Bingham,,,,Male,Human,,,,,
144,,Freddie,,,Bullivant,,,,Male,Human,,,,,
145,,Elizabeth,,,Vickers,,,,Female,Human,,,,,
146,,Marmaduke,,Chuffy,,,5th Baron Chuffnell,Chuffy,Male,Human,,,,,
147,,Myrtle,,,,,Dowager Lady Chuffnell,,Female,Human,,,,,
148,,Seabury,,,,,,,Male,Human,,,,,
149,,Bruce,,Corky,Corcoran,,,,Male,Human,,,,,
150,,Alexander,,,Worple,,,,Male,Human,,,Wealthy and bird-loving,,
151,,Muriel,,,Singer,,,,Female,Human,,,,,
152,,Augustus,,Gussie,Fink-Nottle,,,,Male,Human,,,Lover of newts,,
153,,George,Webster,Boko,Fittleworth,,,,Male,Human,,,,,Drones
154,,Cyril,,Barmy,Fotheringay-Phipps,,,,Male,Human,Pronounced Funghy Fipps,,,,Drones
155,,Hildebrand,,Tuppy,Glossop,,,,Male,Human,,,,,Drones
156,,Cora,,,Bellinger,,,,Female,Human,,,,,
157,,Reginald,,Kipper,Herring,,,,Male,Human,,,,,
158,,Richard,P.,Bingo,Little,,,,Male,Human,,,Renowned in the early days for his ability to fall in love with every girl he meets.,,Drones
159,,Rosie,M.,,Banks,,,,Female,Human,,Little,,,
160,,Algernon,Aubrey,,Little,,,,Male,Human,,,,,
161,,Mortimer,,,Little,,Lord Bittlesham,,Male,Human,,,,,
162,,Gussie,,,Mannering-Phipps,,,,Male,Human,,,,,
163,,Ray,,,Denison,,,,Male,Human,,,,,
