BookCharacterID,BookID,CharacterID
1,2,111
2,2,112
3,3,111
4,3,112
5,4,111
6,4,112
7,5,111
8,5,112
9,6,111
10,6,112
11,7,111
12,7,112
13,8,111
14,8,112
15,9,111
16,9,112
17,10,111
18,10,112
19,11,111
21,12,111
22,12,112
23,13,111
24,13,112
25,14,111
26,14,112
27,15,111
28,15,112
29,16,111
30,16,112
31,17,111
32,17,112
33,18,111
34,18,112
35,19,10
36,19,47
37,20,10
38,20,47
39,21,10
40,21,47
41,22,10
42,22,47
43,23,10
44,23,47
45,24,10
46,24,47
47,25,10
48,25,47
49,26,87
50,27,87
51,27,88
52,28,87
53,28,88
54,29,87
55,31,253
56,32,253
57,33,1
58,22,1
59,36,1
60,37,1
61,38,1
62,39,1
63,40,1
64,41,1
65,42,1
66,43,1
67,44,1
68,45,1
69,46,1
70,92,311
71,92,312
72,92,306
73,92,307
74,92,308
75,92,350
76,92,344
77,92,345
78,92,353
79,92,354
80,92,355
81,53,356
82,61,357
83,35,350
84,16,350
85,26,350
86,27,344
87,4,211
88,7,211
89,14,211
90,12,211
91,17,211
92,9,182
93,12,182
94,9,153
95,27,183
96,3,183
97,6,183
98,14,183
99,4,183
100,16,183
101,5,183
102,1,122
103,3,122
104,5,122
105,9,122
106,10,122
107,4,118
108,5,118
109,7,118
110,8,118
111,12,118
112,13,118
113,14,118
114,15,118
115,16,118
116,17,118
117,18,118
118,3,159
119,4,159
120,5,159
121,81,159
122,13,159
123,35,159
124,16,159
125,3,158
126,4,158
127,5,158
128,81,158
129,13,158
130,35,158
131,16,158
132,3,185
133,4,185
134,16,185
135,16,358
136,7,155
137,17,155
138,7,179
139,8,179
140,10,179
141,15,179
142,17,179
143,8,178
144,15,178
145,7,152
146,8,152
147,10,152
148,15,152
149,8,187
150,12,187
151,15,187
152,17,187
153,102,200
154,37,200
155,5,200
156,14,200
157,103,200
158,35,190
159,14,190
160,8,119
161,10,115
162,10,116
163,10,359
164,10,167
165,10,168
166,10,169
